"titles";"years";"odometer";"vehicle_type";"engine";"gearbox";"prices"
"ToyotaHiace2.7LPetrolFreezerfrom$289pw2014";"2014";18961;" Van";" 2700cc petrol engine";" automatic";28990
"ToyotaHarrier350Gfrom$151pw2006";"2006";89967;" RV/SUV";" 3500cc petrol engine";" automatic";14990
"ToyotaAuris150XMPackage2007";"2007";57383;" Hatchback";" 1500cc petrol engine";" automatic";9140
"ToyotaLandCruiserPradoTVxW52002";"2002";204000;" RV/SUV";" 2982cc diesel engine";" automatic";1025011
"ToyotaRush2007";"2007";75384;" RV/SUV";" 1500cc petrol engine";" automatic";11949
"ToyotaVitz2005";"2005";40880;" Hatchback";" 1296cc petrol engine";" automatic";10788
"ToyotaCorollaGX1.8LHATCH2014";"2014";53947;" Hatchback";" 1798cc petrol engine";" automatic";21990
"ToyotaHiace2008";"2008";670000;" Van";" 2950cc diesel engine";" automatic";17900
"ToyotaHiaceZlTd2012";"2012";135000;" Van";" 2982cc diesel engine";" manual";27500
"ToyotaRAV4SUPERLOW50KM/CRUISECONTROL2006";"2006";50000;" RV/SUV";" 2400cc petrol engine";" automatic";14888
"ToyotaCorollaGx2007";"2007";87625;" Hatchback";" 1798cc petrol engine";" automatic";7500
"ToyotaMark-X**LowKMS**ElectricSeats**A...2006";"2006";45106;" Sedan";" 2500cc petrol engine";" automatic";8990
"ToyotaYarisYRHATCHAUTO*36KMS*(NZNEW)2012";"2012";36437;" Hatchback";" 1300cc petrol engine";" automatic";13950
"ToyotaHilux22R1993";"1993";334762;" Ute";" 2366cc petrol engine";" manual";650.0013
"ToyotaPriusEXHybrid45KGrade4.5!!!!!2011";"2011";45700;" Hatchback";" 1500cc hybrid engine";" automatic";11290
"ToyotaLandCruiser70LxTdDc2015";"2015";25500;" Ute";" 4461cc diesel engine";" manual";69500
"ToyotaCorollaFielder2004";"2004";64341;" Station Wagon";" 1496cc petrol engine";" automatic";11990
"ToyotaPrius1800CCLOW85KMSSPECIAL!2011";"2011";85500;" Hatchback";" 1800cc petrol engine";" automatic";14840
"ToyotaMarkXZio2.4LWAGON2007";"2007";97665;" Station Wagon";" 2362cc petrol engine";" automatic";12688
"ToyotaRAV43Doorlowkm2000";"2000";91400;" RV/SUV";" 1794cc petrol engine";" automatic";8200
"ToyotaAuris2006";"2006";134352;" Hatchback";" 1496cc petrol engine";" automatic";4000
"ToyotaWish2006";"2006";54102;" Station Wagon";" 1794cc petrol engine";" automatic";5000
"ToyotaIst-from$32.29weekly-Wellingt...2005";"2005";100680;" Hatchback";" 1300cc petrol engine";" automatic";5479
"ToyotaCorollaGX1.8LHATCH2014";"2014";54437;" Hatchback";" 1798cc petrol engine";" automatic";21990
"ToyotaVitz-from$34.53weekly-Penrose...2005";"2005";69720;" Hatchback";" 1300cc petrol engine";" automatic";5979
"ToyotaCamryGl2011";"2011";96063;" Sedan";" 2362cc petrol engine";" automatic";12000
"ToyotaCorollaFielderSAeroTourer2006";"2006";78436;" Station Wagon";" 1790cc petrol engine";" automatic";10000
"ToyotaWish2006";"2006";111402;" Van";" 1790cc petrol engine";" automatic";7990
"ToyotaCamry***ELECTRICSEATSLOWKMS***2005";"2005";112000;" Sedan";" 2362cc petrol engine";" automatic";5499
"ToyotaBladeReversingcamera,XMASSALE!2007";"2007";112000;" Hatchback";" 2400cc petrol engine";" automatic";7500
"ToyotaHiaceLONGDXGLPKG5DOOR2012";"2012";82689;" Van";" 2000cc petrol engine";" automatic";23980
"ToyotaHiluxSurf1993";"1993";238043;" Station Wagon";" 2982cc diesel engine";" manual";250039
"ToyotaEstima2.4LChamchaine,Alloywheel...2006";"2006";154108;" Van";" 2360cc petrol engine";" automatic";8990
"ToyotaPriusCAQUA1.5LHYBRID2012";"2012";88685;" Hatchback";" 1500cc hybrid engine";" automatic";14980
"ToyotaHiaceREGIUSACELONGDX2011";"2011";14855;" Van";" 2000cc petrol engine";" automatic";25980
"ToyotaHarrier350GLEATHERBODYKIT2006";"2006";89707;" RV/SUV";" 3500cc petrol engine";" automatic";15980
"ToyotaHiaceVANDXLONG5DOOR2011";"2011";109944;" Van";" 2000cc petrol engine";" automatic";21980
"ToyotaHiaceZl2002";"2002";344682;" Van";" 2986cc diesel engine";" manual";6500
"ToyotaCorollaGx2014";"2014";3000;" Hatchback";" 1798cc petrol engine";" automatic";21000
"ToyotaCorollaGX2008";"2008";155852;" Hatchback";" 1798cc petrol engine";" manual";268.006
"ToyotaAltezza1999";"1999";281972;" Sedan";" 1988cc petrol engine";" automatic";12.5024
"ToyotaCorolla1989";"1989";166408;" Hatchback";" 1295cc petrol engine";" manual";1.502
"ToyotaHiaceZxTd2014";"2014";151000;" Van";" 2982cc diesel engine";" manual";31000
"ToyotaHilux1990";"1990";341393;" Ute";" 2800cc diesel engine";" manual";855.004
"ToyotaBlade2.4i2007";"2007";106350;" Hatchback";" 2362cc petrol engine";" automatic";7500
"ToyotaCaldina1995";"1995";255760;" Station Wagon";" 1974cc diesel engine";" manual";2.504
"ToyotaHiluxDoubleCab2wd2010";"2010";103623;" Ute";" 3000cc diesel engine";" manual";24990
"ToyotaCorollaFielder1.8S2005";"2005";107556;" Station Wagon";" 1794cc petrol engine";" automatic";6000
"ToyotaVanguard240-SAwd2008";"2008";104700;" RV/SUV";" 2362cc petrol engine";" automatic";15500
"ToyotaHiluxSurf1994";"1994";106000;" Station Wagon";" 2980cc diesel engine";" manual";13500
"ToyotaMarkX2005";"2005";197099;" Sedan";" 2490cc petrol engine";" automatic";30102
"ToyotaCaldinaZT2006";"2006";139822;" RV/SUV";" 1998cc petrol engine";" automatic";7000
"ToyotaCelicaSupraXX1980";"1980";124490;" Coupe";" 2000cc petrol engine";" manual";13500
"ToyotaAllionREVERSECAMERA-LOWLOWKMS2005";"2005";44000;" Sedan";" 1800cc petrol engine";" automatic";5500
"ToyotaCorollaFielder-XAerotourer2007";"2007";112760;" Station Wagon";" 1496cc petrol engine";" automatic";6500
"ToyotaCorollaGL2003";"2003";83730;" Hatchback";" 1794cc petrol engine";" manual";5500
"ToyotaHiaceGLPACKAGE_BODYKIT-MAG2008";"2008";178000;" Van";" 2000cc petrol engine";" automatic";16500
"ToyotaHiaceDXLwb2011";"2011";105963;" Van";" 1998cc petrol engine";" automatic";16500
"ToyotaVitz1.5X2007";"2007";84940;" Hatchback";" 1496cc petrol engine";" automatic";6000
"ToyotaHighlanderGXL4WD2015";"2015";27701;" Station Wagon";" 3456cc petrol engine";" automatic";52995
"ToyotaRAV42.44WDLTDWAGON5M2006";"2006";204600;" RV/SUV";" 2362cc petrol engine";" manual";11995
"ToyotaCorolla2.0D2009";"2009";144024;" Hatchback";" 1998cc diesel engine";" manual";40005
"ToyotaHiaceDXLONGVAN2004";"2004";138000;" Van";" 2000cc petrol engine";" automatic";14500
"ToyotaVitzLOWKMS,EXCELLENTCONDITION*2006";"2006";18000;" Hatchback";" 1290cc petrol engine";" automatic";5950
"ToyotaAvensisWagon2007";"2007";142624;" Station Wagon";" 1998cc petrol engine";" automatic";7695
"ToyotaBladeGModel-Lowmileage2008";"2008";56766;" Hatchback";" 2362cc petrol engine";" automatic";10800
"ToyotaAuris1.8LSPACKAGEHATCH2008";"2008";37427;" Hatchback";" 1798cc petrol engine";" automatic";13860
"ToyotaHiace5doors,Tinted2007";"2007";178000;" Van";" 2000cc petrol engine";" automatic";13990
"ToyotaCorollaXli2001";"2001";208225;" Station Wagon";" 1587cc petrol engine";" manual";5250
"ToyotaRunxRUNXNoDepositFinance2004";"2004";97100;" Hatchback";" 1709cc petrol engine";" automatic";6790
"ToyotaAlphard2.4G4WDHybrid2004";"2004";102500;" Van";" 2400cc hybrid engine";" automatic";14950
"ToyotaHiluxSR54WDAutomatic2012";"2012";101200;" Ute";" 2982cc diesel engine";" automatic";39990
"ToyotaYarisRS2009";"2009";86001;" Hatchback";" 1800cc petrol engine";" manual";10750
"ToyotaYarisSX1.5PNZNew2015";"2015";8750;" Hatchback";" 1497cc petrol engine";" automatic";19999
"ToyotaPriusEXHYBRIDR/CAMLOWKS2009";"2009";68610;" Hatchback";" 1500cc hybrid engine";" automatic";9980
"ToyotaIsis2005";"2005";94540;" RV/SUV";" 1998cc petrol engine";" automatic";7250
"ToyotaRunxRUNXLowKmNoDepositFinance2005";"2005";73000;" Hatchback";" 1490cc petrol engine";" automatic";6789
"ToyotaRAV44WDLOW75KMSPECIAL!!!2006";"2006";75800;" RV/SUV";" 2400cc petrol engine";" automatic";14480
"ToyotaSurfHiluxSurf1995";"1995";146900;" RV/SUV";" 2982cc diesel engine";" automatic";6500
"ToyotaAvensis2005";"2005";116800;" Sedan";" 2000cc petrol engine";" automatic";6250
"ToyotaHiluxSR5TurboDieselDoubleCab2014";"2014";57380;" Ute";" 2982cc diesel engine";" automatic";45000
"ToyotaHiaceRegiusAce2005";"2005";94577;" Van";" 1998cc petrol engine";" automatic";13500
"ToyotaAvensisLOWKMS2004";"2004";59382;" Sedan";" 1998cc petrol engine";" automatic";101.002
"ToyotaCelicaSsi2000";"2000";264524;" Hatchback";" 1790cc petrol engine";" manual";2500
"ToyotaAltezzaGita2002";"2002";188387;" Station Wagon";" 1988cc petrol engine";" automatic";665.0045
"ToyotaHighlanderLtdWgn52011";"2011";93200;" RV/SUV";" 3500cc petrol engine";" automatic";30000
"ToyotaCelicaSS-1111998";"1998";207000;" Coupe";" 1990cc petrol engine";" manual";4950
"ToyotaHighlander4WD3.5PSUV/55A(GUFB-...2011";"2011";79668;" RV/SUV";" 3456cc petrol engine";" automatic";31995
"ToyotaHiluxTdDcu2007";"2007";143800;" Ute";" 2982cc diesel engine";" automatic";200505
"ToyotaCorollaFielder*G-Edition**RoofRa...2005";"2005";81358;" Station Wagon";" 1500cc petrol engine";" automatic";6990
"ToyotaFunCargo2001";"2001";115000;" RV/SUV";" 1298cc petrol engine";" automatic";5195
"ToyotaRAV4Limited4WD2.4SUV2010";"2010";81590;" Station Wagon";" 2362cc petrol engine";" automatic";21990
"ToyotaCorollaGx1.8PHatch9.95%p.a*Fi...2014";"2014";65221;" Hatchback";" 1798cc petrol engine";" automatic";18995
"ToyotaCorollaLevinZR9.95%p.a*Finance...2015";"2015";9865;" Hatchback";" 1798cc petrol engine";" automatic";29995
"ToyotaCorollaGx1.8PHatchCv9.95%p.a*...2013";"2013";62431;" Hatchback";" 1798cc petrol engine";" automatic";18995
"ToyotaLandCruiserPradoVXLtd3.0Td9.9...2013";"2013";70234;" RV/SUV";" 2982cc diesel engine";" automatic";63995
"ToyotaCorollaGx1.8PHatch6M9.95%p.a*...2015";"2015";38502;" Hatchback";" 1798cc petrol engine";" manual";18995
"ToyotaRAV44WDSportsWideBody2006";"2006";126000;" RV/SUV";" 2400cc petrol engine";" automatic";15450
"ToyotaCamry2.5GLHybrid2016";"2016";NA;" 2494cc";" automatic";NA;36990
"ToyotaLandCruiserPradoGX4WD7Seat2015";"2015";47000;" RV/SUV";" 2982cc diesel engine";" automatic";53990
"ToyotaLandCruiserPradoVX2014";"2014";31000;" RV/SUV";" 2982cc diesel engine";" automatic";61500
"ToyotaCorollaAxio,2ORIGINALKEYSWITHR...2008";"2008";62392;" Sedan";" 1496cc petrol engine";" automatic";8799
"ToyotaAvensis*ALLOYS&SPOILER*2005";"2005";69950;" Station Wagon";" 1990cc petrol engine";" automatic";8495
"ToyotaCamryGx1995";"1995";203495;" Sedan";" 2959cc petrol engine";" automatic";1000
"ToyotaHiluxTdSr5Dc2008";"2008";315689;" Ute";" 2982cc diesel engine";" manual";26000
"ToyotaRAV4LTDNZNEW2007";"2007";99955;" RV/SUV";" 2362cc petrol engine";" automatic";14000
"ToyotaRAV42.4G4WD2005";"2005";131000;" RV/SUV";" 2400cc petrol engine";" automatic";14450
"ToyotaRunxCOROLLALOW43KMSPECIAL2005";"2005";43500;" Hatchback";" 1500cc petrol engine";" automatic";8480
"ToyotaHiluxTdD/C2007";"2007";159000;" Ute";" 2982cc diesel engine";" manual";19250
"ToyotaHiaceDX2012";"2012";89391;" Van";" 3000cc diesel engine";" automatic";28995
"ToyotaHiluxTdSr5Dc2011";"2011";158000;" Ute";" 2982cc diesel engine";" automatic";31000
"ToyotaCynos1993";"1993";234948;" Sedan";" 1490cc petrol engine";NA;104.005
"ToyotaVitz2000";"2000";65024;" Hatchback";" 997cc petrol engine";" automatic";4000
"ToyotaLandCruiserFJ401978";"1978";80000;" RV/SUV";" 4200cc petrol engine";" manual";27000
"ToyotaEstimaPrevia2.44WD*8seats*2006";"2006";114000;" Van";" 2400cc petrol engine";" automatic";11950
"ToyotaPrius2005";"2005";210819;" Hatchback";" 1496cc hybrid engine";" automatic";5400
"Toyota862012";"2012";12800;" Coupe";" 1998cc petrol engine";" tiptronic";25500
"ToyotaCaldina2005";"2005";168347;" RV/SUV";" 1794cc petrol engine";" automatic";7000
"ToyotaCorolla-from$39.02weekly-Hami...2006";"2006";72240;" Hatchback";" 1500cc petrol engine";" automatic";6979
"ToyotaLandCruiserVXLimited1995";"1995";339090;" RV/SUV";" 4163cc diesel engine";" automatic";17000
"ToyotaRAV42007";"2007";76796;" RV/SUV";" 2400cc petrol engine";" automatic";15995
"ToyotaRAV42002";"2002";116513;" RV/SUV";" 1998cc petrol engine";" automatic";8600
"ToyotaHiluxSurfSsr-X1998";"1998";245000;" RV/SUV";" 2693cc petrol engine";" manual";8000
"ToyotaKluger3.34WDHybrid*7seats*2005";"2005";103000;" RV/SUV";" 3300cc hybrid engine";" automatic";16950
"ToyotaCorollaFIELDER2005";"2005";100043;" Station Wagon";" 1500cc petrol engine";" automatic";5990
"ToyotaCorollaAuris1.5ltX-SLOWKM,S2008";"2008";54140;" Hatchback";" 1500cc petrol engine";" automatic";9995
"ToyotaCorollaAxioLuxel2006";"2006";59323;" Sedan";" 1797cc petrol engine";" automatic";8300
"ToyotaHiluxSurfSSRG1996";"1996";277949;" RV/SUV";" 3000cc diesel engine";" automatic";9980
"ToyotaHiaceZl2003";"2003";310732;" Van";" 2986cc diesel engine";" manual";5500
"ToyotaPriusNewShapeSPackage2010";"2010";58000;" Hatchback";" 1800cc";" automatic";14990
"ToyotaPriusH5E2006";"2006";241803;" Hatchback";" 1497cc hybrid engine";" automatic";5900
"ToyotaHighlander3.5GXL4WD2014";"2014";45221;" RV/SUV";" 3456cc petrol engine";" automatic";49990
"ToyotaPreviaNZNEW8Seater2007";"2007";81327;" RV/SUV";" 2362cc petrol engine";" automatic";14500
"ToyotaCamryHybrid2010";"2010";104350;" Sedan";" 2362cc hybrid engine";" automatic";15000
"ToyotaHilux1994";"1994";613360;" Ute";" 2cc diesel engine";" manual";1800
"ToyotaAlphardAXTresoralcantara/8Seater2005";"2005";100000;" Van";" 2400cc petrol engine";" automatic";10500
"ToyotaHighlander2WD3.5PSUV/55A(GUTB-...2012";"2012";172746;" RV/SUV";" 3456cc petrol engine";" automatic";26995
"ToyotaCorollaNZNewmanual2009";"2009";165383;" Station Wagon";" 1496cc petrol engine";" manual";7000
"ToyotaFJCruiser2014";"2014";11078;" RV/SUV";" 3950cc petrol engine";" automatic";52500
"ToyotaRactisGSPackage2008";"2008";98840;" Hatchback";" 1500cc petrol engine";" tiptronic";9995
"ToyotaPrius1.8S*NewShape*2011";"2011";151000;" Hatchback";" 1800cc petrol engine";" automatic";11850
"ToyotaIst-from$36.78weekly-Christch...2004";"2004";63565;" Hatchback";" 1300cc petrol engine";" automatic";6479
"ToyotaHiluxTdD/C2008";"2008";410771;" Ute";" 2982cc diesel engine";" manual";13000
"ToyotaHiaceMiniBus$79PW2003";"2003";275000;" Van";" 3000cc diesel engine";" manual";9850
"ToyotaHilux1994";"1994";325983;" Ute";" 2400cc petrol engine";NA;6500
"ToyotaHiaceSupercustom4x4-NoDeposit...1993";"1993";49299;" Van";" 3000cc diesel engine";" automatic";13990
"ToyotaWish7SeatFamilyCar2006";"2006";100000;" Station Wagon";" 1800cc petrol engine";" automatic";6750
"ToyotaRAV4Sport2004";"2004";109811;" RV/SUV";" 1998cc petrol engine";" automatic";10600
"ToyotaFunCargo2004,64500km,1300cc2004";"2004";64500;" Hatchback";" 1298cc petrol engine";" automatic";4500
"ToyotaPreviaGrande2005";"2005";257456;" Station Wagon";" 2362cc petrol engine";" automatic";4490
"ToyotaHiace3.0Diesel4WD5speed2010";"2010";155763;" Van";" 3000cc diesel engine";" manual";26690
"ToyotaHilux4RunnerRV.NZ.New1996";"1996";197806;" RV/SUV";" 2779cc diesel engine";" manual";12000
"ToyotaYaris1.3GXAutoHatch2015";"2015";28882;" Hatchback";" 1299cc petrol engine";" automatic";17990
"ToyotaEstimaAerasG2006";"2006";72000;" Van";" 3500cc petrol engine";" automatic";12990
"ToyotaIstLOWLOWKMS2005";"2005";39016;" Hatchback";" petrol engine";" automatic";4999
"ToyotaAllion2006";"2006";30736;" Sedan";" petrol engine";" automatic";6500
"ToyotaHiluxSurf1992";"1992";302462;" RV/SUV";" 2446cc diesel engine";" automatic";2.003
"ToyotaHiaceLONGDX4WD3.0LDIESEL2011";"2011";84150;" Van";" 3000cc diesel engine";" manual";30980
"ToyotaEstimaG4WDV67SEATPOWERDOORS2006";"2006";102674;" Van";" 3500cc petrol engine";" automatic";15980
"ToyotaHarrier300GPremiumLPKG/Leather...2005";"2005";84000;" RV/SUV";" 3000cc petrol engine";" automatic";14990
"ToyotaCaldinaZT2005";"2005";82000;" Station Wagon";" 2000cc petrol engine";" automatic";8990
"ToyotaAltezzaGita2001";"2001";185909;" Station Wagon";" 1988cc petrol engine";" automatic";4995
"ToyotaAlphard350SV6PREMIUMFULLLEATHER2015";"2015";NA;" 3500cc petrol engine";" tiptronic";NA;76800
"ToyotaMark-XZIO240G6SEATERR/CAM2008";"2008";102013;" Van";" 2400cc petrol engine";" automatic";10980
"ToyotaVitz-from$34.53weekly-Penrose...2008";"2008";82872;" Hatchback";" 1300cc petrol engine";" automatic";5979
"ToyotaCorollaFielder.PRICEREDUCED2005";"2005";89560;" Station Wagon";" 1490cc petrol engine";" automatic";8499
"ToyotaAllionJustArrivedOneYearFreeW...2005";"2005";85000;" Sedan";" 1800cc petrol engine";" automatic";7995
"ToyotaBBZ2006";"2006";106863;" Hatchback";" 1500cc petrol engine";" automatic";7999
"ToyotaEstimaAERASPREMIUM7SEATER2.42005";"2005";107915;" Van";" 2400cc petrol engine";" automatic";10999
"ToyotaAvensisSuperbCondition2004";"2004";134810;" Station Wagon";" 1998cc petrol engine";" automatic";8999
"ToyotaHarrier300AIRSV64WD2004";"2004";61714;" RV/SUV";" 3000cc petrol engine";" automatic";18999
"ToyotaHarrier300AIRSV64WD2004";"2004";61714;" RV/SUV";" 3000cc petrol engine";" automatic";18999
"ToyotaAvensisSuperbCondition2004";"2004";134810;" Station Wagon";" 1998cc petrol engine";" automatic";8999
"ToyotaRAV4***PUSHSTARTCRUISECONTROL****2006";"2006";79000;" RV/SUV";" 2400cc petrol engine";" automatic";14495
"ToyotaPriusHYBRIDLOW56KMS10THANNIVER...2009";"2009";56670;" Hatchback";" 1500cc";" automatic";11480
"ToyotaBladeBaseGrade2007";"2007";109000;" Hatchback";" 2400cc petrol engine";" automatic";8990
"ToyotaVitzHatchRs5SpeedManual2004";"2004";82000;" Hatchback";" 1300cc petrol engine";" manual";6494
"ToyotaVitz6AirbagsMagsFaceLift2010";"2010";68700;" Hatchback";" 1300cc petrol engine";" automatic";7850
"ToyotaVitzLowkms2007";"2007";28700;" Hatchback";" 1300cc petrol engine";" automatic";6850
"ToyotaHiaceDX2011";"2011";76221;" Van";" 2000cc petrol engine";" automatic";24995
"ToyotaCrown3.0Cruisecontrol8airbags2007";"2007";107519;" Sedan";" 2990cc petrol engine";" automatic";9990
"ToyotaIstLowkms2005";"2005";46900;" Hatchback";" 1300cc petrol engine";" automatic";6350
"ToyotaRunx*XAEROTOURERNewTires!!!2004";"2004";76255;" Hatchback";" 1500cc petrol engine";" automatic";7950
"ToyotaRunxCorolla1.8L**RUNX/Allex**full...2005";"2005";78470;" Hatchback";" 1800cc petrol engine";" automatic";7800
"ToyotaVitz/Yaris1300CC2007";"2007";68000;" Hatchback";" 1300cc petrol engine";" automatic";6490
"ToyotaEstimaAerasG-Edition2007";"2007";86811;" Van";" 2400cc";" automatic";14995
"ToyotaCamry2.4PGLXLeatherSunroofNZNew2006";"2006";107300;" Sedan";" 2362cc petrol engine";" automatic";12999
"ToyotaLiteaceTownace1.5GL2008";"2008";108500;" Van";" 1500cc petrol engine";" automatic";9950
"ToyotaCrownMajestaA4.3*TopSpecs*2005";"2005";125000;" Sedan";" 4300cc petrol engine";" automatic";11450
"ToyotaMark-X250GSPkg*BlackLeather*2005";"2005";128500;" Sedan";" 2500cc petrol engine";" automatic";10950
"ToyotaLandCruiser80seriesVXLtd4.51994";"1994";145750;" RV/SUV";" 4500cc petrol engine";" automatic";16950
"ToyotaAurisMODELLISTAB/KIT2010";"2010";44930;" Hatchback";" 1490cc petrol engine";" automatic";13495
"ToyotaRactis/FuncargoVVTIChainDriven2007";"2007";72920;" Hatchback";" 1300cc petrol engine";" automatic";5889
"ToyotaRAV42.4GSpec4WDVVT-iLowKM2005";"2005";81251;" RV/SUV";" 2400cc petrol engine";" automatic";13978
"ToyotaVitz1.5RSSmartKeypushstartAl...2006";"2006";103019;" Hatchback";" 1490cc petrol engine";" automatic";6950
"ToyotaVitzRS2005";"2005";101573;" Hatchback";" 1500cc petrol engine";" manual";7999
"ToyotaCamry240GVVT-INicePearlWhiteM...2007";"2007";59613;" Sedan";" 2400cc petrol engine";" automatic";10489
"ToyotaFielderCorolla1.8SDualVVT-i2007";"2007";73622;" Station Wagon";" 1800cc petrol engine";" automatic";9898
"ToyotaCorollaSpacio.7Seats2004";"2004";83386;" Station Wagon";" 1496cc petrol engine";" automatic";7999
"ToyotaAvensisWagonLowKmsPricetoSell!2005";"2005";52970;" Station Wagon";" 2000cc petrol engine";" automatic";7995
"ToyotaLandCruiserTdVxWgn52008";"2008";189857;" RV/SUV";" 4461cc diesel engine";" automatic";65000
"ToyotaAurisALLOYS!!NEWTYRES2008";"2008";54991;" Hatchback";" 1490cc petrol engine";" automatic";10250
"ToyotaHarrier3.0V64WD2001";"2001";188866;" RV/SUV";" 2994cc petrol engine";" tiptronic";6999
"ToyotaVitzRS2010";"2010";80000;" Hatchback";" 1500cc petrol engine";" automatic";11985
"ToyotaPriusLowkms2010";"2010";73400;" Hatchback";" 1500cc petrol engine";" automatic";10300
"ToyotaVitz1300cclowmileage2005";"2005";53950;" Hatchback";" 1300cc petrol engine";" automatic";6500
"ToyotaMark-XZioWithKeylessandAlloys2008";"2008";98993;" Station Wagon";" 2362cc petrol engine";" automatic";10250
"ToyotaRushX1OWNER16'MAGS2007";"2007";104589;" RV/SUV";" 1500cc petrol engine";" automatic";9980
"ToyotaHiaceSuperGLWidebody2009";"2009";127508;" Van";" 2700cc petrol engine";" automatic";25990
"ToyotaHiace3.0TurboDiesel2012";"2012";148184;" Van";" 3000cc diesel engine";" automatic";25990
"ToyotaRAV45DGSPEC2007";"2007";43668;" RV/SUV";" 2400cc petrol engine";" automatic";16490
"ToyotaRAV4Limited2.4Auto2009";"2009";130000;" Station Wagon";" 2362cc petrol engine";" automatic";18990
"ToyotaVellfire350ZV6SPORTLIMITED,FUL...2015";"2015";NA;" 3500cc petrol engine";" tiptronic";NA;76800
"ToyotaAllion2010";"2010";24800;" Sedan";" 2000cc petrol engine";" automatic";13222
"ToyotaAuris1800cc2007";"2007";72800;" Hatchback";" 1800cc petrol engine";" tiptronic";9700
"ToyotaPriusSNewshapeKeylessLowmileage2011";"2011";102000;" Hatchback";" 1800cc petrol engine";" automatic";13495
"ToyotaCamrySport2009";"2009";160603;" Sedan";" 2362cc petrol engine";" automatic";10880
"ToyotaVitz1300CCGREATCONDITIONSPECIAL...2010";"2010";98921;" Hatchback";" 1300cc petrol engine";" automatic";6500
"ToyotaHiace0DEPOSITFINANCE$49PERWEEK1995";"1995";243585;" Van";" 2800cc diesel engine";" manual";7899
"ToyotaRAV4Ltd.LOWKM's2012";"2012";30883;" RV/SUV";" 2362cc petrol engine";" automatic";25999
"ToyotaYaris1.3GXAutoHatch2015";"2015";25955;" Hatchback";" 1299cc petrol engine";" automatic";17990
"ToyotaMarkX250GSPKG/LeatherSeats2005";"2005";98000;" Sedan";" 2500cc petrol engine";" automatic";9990
"ToyotaEstimaGDUALPOWERDOORS2006";"2006";78083;" Van";" 3500cc petrol engine";" tiptronic";14980
"ToyotaMark-X250GFPKGLOWKMS2006";"2006";34844;" Sedan";" 2500cc petrol engine";" automatic";11980
"ToyotaHiaceREGIUSACELONGDX2010";"2010";94334;" Van";" 2000cc petrol engine";" automatic";19980
"ToyotaEstima***RearViewCameraPushSta...2006";"2006";88000;" Van";" 2400cc petrol engine";" automatic";13299
"ToyotaHiluxSR54WD3.0DoublecabUte2013";"2013";84595;" Ute";" 2982cc diesel engine";" automatic";39990
"ToyotaRAV4G4WD170hpCRUISECTRL2006";"2006";79065;" RV/SUV";" 2400cc petrol engine";" automatic";15980
"ToyotaLandCruiserPrado0DepositFinanc...1996";"1996";197858;" RV/SUV";" 3000cc diesel engine";" automatic";13699
"ToyotaKluger-from$48.01weekly-Botan...2004";"2004";129283;" RV/SUV";" 2400cc petrol engine";" automatic";8979
"ToyotaAvensisGreatCar2005";"2005";96000;" Sedan";" 2400cc petrol engine";" automatic";5650
"ToyotaVitz1.3LECONOMICAL2006";"2006";70910;" Hatchback";" 1290cc petrol engine";" automatic";6250
"ToyotaHiluxTdD/C2008";"2008";187000;" Ute";" 2982cc diesel engine";" manual";17000
"ToyotaPasso1300CCGREATCONDITIONWITHS...2005";"2005";64650;" Hatchback";" 1300cc petrol engine";" automatic";4995
"ToyotaHilux2WD3.0TDDCUTE5M2014";"2014";20986;" Ute";" 2982cc diesel engine";" manual";31999
"ToyotaPriusSHYBRIDREV.CAMERA2009";"2009";120916;" Hatchback";" 1500cc hybrid engine";" automatic";9490
"ToyotaIpsum240S7SeatsReverseCamera2005";"2005";186800;" Station Wagon";" 2362cc petrol engine";" automatic";6500
"ToyotaLandCruiserPradoDieselManual7...2012";"2012";81000;" RV/SUV";" 3000cc diesel engine";" manual";41995
"ToyotaAlphardAS8SeatsPremium2004";"2004";158000;" Van";" 2400cc petrol engine";" automatic";9450
"ToyotaBladeB/KIT!!ALLOYS!!8AIRBAGS2009";"2009";65270;" Hatchback";" 2400cc petrol engine";" automatic";10495
"ToyotaRAV4240GSpec,LowKMCHEAPERPRICE2005";"2005";63360;" RV/SUV";" 2400cc petrol engine";" automatic";13970
"ToyotaHighlanderGXLAWD3.5PV6SUV2016";"2016";13897;" RV/SUV";" 3456cc petrol engine";" automatic";54490
"ToyotaPrius***ARRIVINGSOON***2011";"2011";85000;" Sedan";" 1800cc petrol engine";" automatic";13995
"ToyotaVitz1300cc2005";"2005";85700;" Hatchback";" 1300cc petrol engine";" automatic";5995
"ToyotaRactisKEYLESSENTRY,PUSHBUTTONSTART2007";"2007";89214;" Hatchback";" 1496cc petrol engine";" automatic";6499
"ToyotaBladeG2008";"2008";64890;" Hatchback";" 2400cc petrol engine";" automatic";13750
"ToyotaPrevia2.4P4A5DrWagon2009";"2009";64171;" Station Wagon";" 2362cc petrol engine";" automatic";19990
"ToyotaCamrySportivoNoDepositFinance2006";"2006";170000;" Sedan";" 2362cc petrol engine";" automatic";6490
"ToyotaHiace**3.0DZLMANUALDIESELWORK...2002";"2002";450088;" Van";" 2986cc diesel engine";" manual";5490
"ToyotaHiluxTdSr5Dc2010";"2010";193624;" Ute";" 2982cc diesel engine";" automatic";27000
"ToyotaPriuscL1Petrol/ElectricHybridH...2013";"2013";20320;" Hatchback";" 1497cc petrol engine";" automatic";20990
