"titles";"years";"odometer";"vehicle_type";"engine";"gearbox";"prices";"locations"
"ToyotaWish2005";2005;88074;" RV/SUV";" 1794cc petrol engine";" automatic";6500;"North Shore"
"ToyotaWish*FACELIFT*ALLOYS*2005";2005;114000;" Station Wagon";" 1800cc petrol engine";" automatic";5480;"Auckland City"
"ToyotaWish2005";2005;104000;" Van";" 1800cc petrol engine";" automatic";6800;"Auckland"
"ToyotaWish2004";2004;67806;" Station Wagon";" 1800cc petrol engine";" automatic";6200;"Auckland City"
"ToyotaWish2006";2006;133857;" RV/SUV";" 1998cc petrol engine";" automatic";7500;"Palmerston North"
"ToyotaWish2004";2004;133577;" RV/SUV";" 1794cc petrol engine";" automatic";4900;"Otorohanga"
"ToyotaWish7SEATER!LOWKMS2004";2004;65500;" Station Wagon";" 1800cc petrol engine";" automatic";6000;"Manukau City"
"ToyotaWishLOWMILEAGE/FRONT&REVERSECAMERA2004";2004;84200;" Station Wagon";" 1998cc petrol engine";" automatic";6990;"Manukau City"
"ToyotaWishXS2005";2005;108250;" Van";" 1800cc petrol engine";" automatic";8990;"Waikato"
"ToyotaWishG2007";2007;78870;" Van";" 2000cc petrol engine";" automatic";10990;"Waikato"
"ToyotaWishX*AACERTIFIED*2005";2005;76454;" RV/SUV";" 1800cc petrol engine";" automatic";6500;"North Shore"
"ToyotaWish2005";2005;65540;" Station Wagon";" 1800cc petrol engine";" automatic";6700;"Auckland City"
"ToyotaWish1.8S/GreatCondition2005";2005;105000;" Van";" 1800cc petrol engine";" automatic";5490;"Auckland"
"ToyotaWish*StunningCarwithBeautiful...2006";2006;91000;" Van";" 1794cc petrol engine";" automatic";6680;"Auckland"
"ToyotaWish7seater2004";2004;95493;" Station Wagon";" 1800cc petrol engine";" automatic";7990;"Hawke's Bay"
"ToyotaWishXSPACKAGE2005";2005;107559;" Station Wagon";" 1800cc petrol engine";" automatic";8990;"Canterbury"
"ToyotaWishXSAero2008";2008;90848;" Van";" 1800cc petrol engine";" automatic";8500;"Auckland"
"ToyotaWish2005";2005;95000;" Hatchback";" 1800cc petrol engine";" automatic";6300;"Manukau City"
"ToyotaWishXAeroSportspackage2005";2005;92800;" Station Wagon";" 1800cc petrol engine";" automatic";7495;"Auckland"
"ToyotaWishCHAINDRIVEN7SEATER2007";2007;79007;" Station Wagon";" 2000cc petrol engine";" automatic";7999;"Auckland"
"ToyotaWish2005";2005;114569;" Van";" 1800cc petrol engine";" automatic";6999;"Auckland"
"ToyotaWish1.8S2009";2009;73280;" Van";" 1800cc petrol engine";" automatic";15980;"Auckland"
"ToyotaWish$11,999WITHOFFER$9,9992007";2007;73582;" Station Wagon";" 1800cc petrol engine";" tiptronic";11999;"Canterbury"
"ToyotaWish2005";2005;37980;" Station Wagon";" 1794cc petrol engine";" tiptronic";9995;"Otago"
"ToyotaWish1.8LXLTD2007";2007;104000;" Station Wagon";" 1800cc petrol engine";" automatic";7990;"Auckland"
"ToyotaWish*StunningCarwithBeautiful...2005";2005;96000;" Van";" 1794cc petrol engine";" automatic";6240;"Auckland"
"ToyotaWish2004";2004;134600;" RV/SUV";" 1794cc petrol engine";" automatic";5395;"Auckland City"
"ToyotaWishX2007";2007;93000;" Station Wagon";" 1800cc petrol engine";" automatic";7700;"Auckland"
"ToyotaWish2005";2005;109549;" Van";" 1794cc petrol engine";" automatic";7995;"Waikato"
"ToyotaWish1.8XS4WDFacelift*BudgetBr...2005";2005;125000;" Station Wagon";" 1800cc petrol engine";" automatic";6788;"Canterbury"
"ToyotaWishBrandnewtyres,Reversingcam...2005";2005;93000;" Station Wagon";" 1800cc petrol engine";" automatic";6700;"Auckland"
"ToyotaWish2007";2007;91697;" Station Wagon";" 1998cc petrol engine";" automatic";11995;"Waikato"
"ToyotaWish7Seater2007";2007;74311;" Van";" 1800cc petrol engine";" automatic";7850;"Auckland"
"ToyotaWish7SEATER-ELLERSLIEXSPacka...2004";2004;128267;" Van";" 1800cc petrol engine";" automatic";5930;"Auckland"
"ToyotaWish2005";2005;99000;" Station Wagon";" 2000cc petrol engine";" automatic";8499;"Canterbury"
"ToyotaWishG2008";2008;81857;" Van";" 2000cc petrol engine";" automatic";10999;"Canterbury"
"ToyotaWishsportsS2004";2004;153170;" RV/SUV";" 1998cc petrol engine";" automatic";5100;"Hastings"
"ToyotaWish1.8XAeroSportsPackage2005";2005;160836;" Station Wagon";" 1800cc petrol engine";" tiptronic";8999;"Canterbury"
"ToyotaWishLowkm,FACELIFT2007";2007;72940;" Station Wagon";" 1800cc petrol engine";" automatic";8995;"Auckland"
"ToyotaWishX-S1.8SportLowKM2006";2006;78123;" Van";" 1790cc petrol engine";" automatic";6995;"Auckland"
"ToyotaWishNewShape/1.8L/ReverseCamera2011";2011;54000;" Station Wagon";" 1800cc petrol engine";" automatic";16990;"Auckland"
"ToyotaWish1.8L7SeatersTidywagon2007";2007;116508;" Station Wagon";" 1790cc petrol engine";" automatic";6490;"Auckland"
"ToyotaWish1.8AeroSportsPackage2005";2005;110044;" Station Wagon";" 1800cc petrol engine";" automatic";8990;"Canterbury"
"ToyotaWish2009";2009;39000;" Station Wagon";" 1800cc petrol engine";" automatic";13989;"Auckland"
"ToyotaWish7Seat*HotLook!*2005";2005;71010;" Van";" 1800cc petrol engine";" automatic";7450;"Auckland"
"ToyotaWish1.8LCamchainVerytidywagon...2007";2007;126494;" Station Wagon";" 1790cc petrol engine";" automatic";6490;"Auckland"
"ToyotaWish**NiceAlloys**2004";2004;88901;" Van";" 1800cc petrol engine";" automatic";5970;"Auckland"
"ToyotaWishX2007";2007;63248;" Station Wagon";" 1790cc petrol engine";" automatic";11990;"Bay of Plenty"
"ToyotaWishZ2005";2005;148000;" RV/SUV";" 2000cc petrol engine";" automatic";6000;"Timaru"
"ToyotaWishX***ROOFMOUNTEDSCREEN***2006";2006;94000;" Station Wagon";" 1800cc petrol engine";" automatic";7490;"Auckland"
"ToyotaWish7seater2004";2004;118007;" RV/SUV";" 1794cc petrol engine";" automatic";6900;"Palmerston North"
"ToyotaWishCHAINDRIVEN7SEATER2003";2003;173097;" Station Wagon";" 1800cc petrol engine";" automatic";4300;"Auckland"
"ToyotaWish1.8XS2004";2004;116900;" Station Wagon";" 1800cc petrol engine";" automatic";6990;"Canterbury"
"ToyotaWish1.8XSSport7seatersnicecar2004";2004;134792;" Station Wagon";" 1790cc petrol engine";" automatic";5399;"Auckland"
"ToyotaWish2005";2005;135621;" RV/SUV";" 1794cc petrol engine";" automatic";5000;"Waitakere City"
"ToyotaWishX2005";2005;123400;" Station Wagon";" 1794cc petrol engine";" automatic";8995;"Otago"
"ToyotaWish2004";2004;149150;" Station Wagon";" 1794cc petrol engine";" automatic";5100;"Waitakere City"
"ToyotaWish-from$36.78weekly-Dunedin...2004";2004;65374;" Station Wagon";" 1800cc petrol engine";" automatic";6479;"Otago"
"ToyotaWishXSPACKAGE2004";2004;63899;" Station Wagon";" 1790cc petrol engine";" automatic";8990;"Bay of Plenty"
"ToyotaWish1.8XNeo7SeatWagon2005";2005;97538;" Station Wagon";" 1800cc petrol engine";" automatic";8990;"Canterbury"
"ToyotaWishXAeroSportpackageLowKs2005";2005;68000;" Station Wagon";" 1800cc petrol engine";" automatic";8495;"Auckland"
"ToyotaWish-MANUKAUXSPackageAAAppra...2005";2005;112327;" Van";" 1800cc petrol engine";" automatic";6930;"Auckland"
"ToyotaWish1.8S2009";2009;29926;" Station Wagon";" 1790cc petrol engine";" automatic";17990;"Canterbury"
"ToyotaWish7SeatsNoDepositFinance2005";2005;76050;" Station Wagon";" 1800cc petrol engine";" automatic";9999;"Otago"
"ToyotaWish7SeatFamilyWagon2005";2005;122600;" Station Wagon";" 1794cc petrol engine";" automatic";8995;"Southland"
"ToyotaWishXLimited**AmazingXmasSpecia...2006";2006;96000;" Van";" 1800cc petrol engine";" automatic";7800;"Auckland"
"ToyotaWishXNEOEdition**AmazingXmasSp...2004";2004;96000;" Van";" 1800cc petrol engine";" automatic";6500;"Auckland"
"ToyotaWishReverseCamera2005";2005;95045;" RV/SUV";" 1794cc petrol engine";" automatic";6400;"Hamilton"
"ToyotaWish2006";2006;95950;" Van";" 1794cc petrol engine";" automatic";6995;"Wellington City"
"ToyotaWish2005";2005;180000;" RV/SUV";" 1794cc petrol engine";" automatic";4899;"Auckland City"
"ToyotaWishAeroSport/NZGPS2007";2007;66500;" Van";" 1794cc petrol engine";" automatic";10950;"Hamilton"
"ToyotaWish1800cc7Seater2005";2005;80530;" Van";" 1800cc petrol engine";" tiptronic";6985;"Auckland"
"ToyotaWishX2010";2010;62780;" Van";" 1800cc petrol engine";" automatic";16980;"Auckland"
"ToyotaWish..FREEONROADCOSTS.2005";2005;67000;" Station Wagon";" 1800cc petrol engine";" automatic";8990;"Manawatu"
"ToyotaWish2004";2004;129882;" RV/SUV";" 1998cc petrol engine";" automatic";6980;"Manawatu"
"ToyotaWish2005";2005;148061;" Station Wagon";" 1794cc petrol engine";" automatic";7995;"Northland"
"ToyotaWish2.0G2005";2005;24500;" Station Wagon";" 2000cc petrol engine";" automatic";11990;"Canterbury"
"ToyotaWish7SeaterOnly65000Kms2004";2004;65372;" Station Wagon";" 1800cc petrol engine";" automatic";8999;"Nelson Bays"
"ToyotaWishSport2006";2006;96528;" Station Wagon";" 1990cc petrol engine";" automatic";9995;"Wellington"
"ToyotaWishXSPACKAGE2005";2005;125485;" Station Wagon";" 1800cc petrol engine";" automatic";8990;"Canterbury"
"ToyotaWish1.8L7Seater1YearWarrantyFree2004";2004;109542;" Van";" 1800cc petrol engine";" automatic";6490;"Canterbury"
"ToyotaWishLowkm1.8LVVTI2007";2007;47265;" Station Wagon";" 1800cc petrol engine";" automatic";9495;"Auckland"
"ToyotaWishG7Seat2000cclowkm2004";2004;67289;" Station Wagon";" 2000cc petrol engine";" automatic";9999;"Otago"
"ToyotaWish2005";2005;113507;" Van";" 1800cc petrol engine";" automatic";9995;"Waikato"
"ToyotaWish2004";2004;75089;" Station Wagon";" 1800cc petrol engine";" automatic";9490;"Canterbury"
"ToyotaWishZtopspec,widebody2005";2005;130246;" Van";" 2000cc petrol engine";" automatic";6950;"Southland"
"ToyotaWishSports7seats2004";2004;121886;" Van";" 1800cc petrol engine";" automatic";6990;"Southland"
"ToyotaWish2004";2004;105000;" RV/SUV";" 1794cc petrol engine";" automatic";5990;"Manukau City"
"ToyotaWish2005";2005;96000;" Hatchback";" 1800cc petrol engine";" automatic";6500;"Auckland City"
"ToyotaWish2.0Sport2004";2004;102417;" Station Wagon";" 2000cc petrol engine";" automatic";5989;"Canterbury"
"ToyotaWish2.0Z2009";2009;54912;" Station Wagon";" 2000cc petrol engine";" automatic";19999;"Canterbury"
"ToyotaWish1800cc7Seater2007";2007;73787;" Van";" 1800cc petrol engine";" tiptronic";8985;"Auckland"
"ToyotaWish-MANUKAUAAAppraisedJust2...2004";2004;133912;" Hatchback";" 1800cc petrol engine";" automatic";6930;"Auckland"
"ToyotaWish2006";2006;126317;" Van";" 2000cc petrol engine";" automatic";5990;"Auckland"
"ToyotaWish1.8XAeroSportPack2006";2006;97423;" Station Wagon";" 1800cc petrol engine";" automatic";9990;"Canterbury"
"ToyotaWishXSPackage2004";2004;138000;" Station Wagon";" 1800cc petrol engine";" automatic";8999;"Canterbury"
"ToyotaWish7SeaterWagon2005";2005;90451;" Station Wagon";" 1800cc petrol engine";" automatic";7990;"Auckland"
"ToyotaWishXS-Package(FREEDELIVERY*2004";2004;64000;" Station Wagon";" 1800cc petrol engine";" automatic";9999;"Nelson Bays"
"ToyotaWish1.8L2005";2005;95000;" Station Wagon";" 1794cc petrol engine";" automatic";9990;"Timaru - Oamaru"
"ToyotaWishX2005";2005;78000;" Station Wagon";" 1800cc petrol engine";" automatic";6990;"Auckland"
"ToyotaWish2WD/4WD.CD/DVD/MP32007";2007;114324;" Station Wagon";" 1800cc petrol engine";" automatic";6650;"Auckland"
"ToyotaWish2007";2007;112549;" Van";" 1800cc petrol engine";" automatic";9995;"Waikato"
"ToyotaWish2007";2007;98627;" Station Wagon";" 1794cc petrol engine";" automatic";9990;"Wellington"
"ToyotaWish2.0Z2004";2004;105530;" Station Wagon";" 2000cc petrol engine";" automatic";8950;"Canterbury"
"ToyotaWishX2006";2006;30290;" Station Wagon";" 1800cc petrol engine";" automatic";8990;"Canterbury"
"ToyotaWishXLimited2006";2006;60605;" Station Wagon";" 1800cc petrol engine";" automatic";12990;"Hawke's Bay"
"ToyotaWishRecersingCamera,Alloy2004";2004;138000;" Station Wagon";" 1800cc petrol engine";" automatic";5800;"Auckland"
"ToyotaWish2004";2004;134677;" RV/SUV";" 2000cc petrol engine";" automatic";7995;"Waikato"
"ToyotaWishBIGALLOWWHEELSHIDLIGHT2009";2009;76750;" Station Wagon";" 1800cc petrol engine";" automatic";16995;"Auckland"
"ToyotaWish1.8S/GreatCondition2005";2005;128940;" Van";" 1800cc petrol engine";" automatic";4990;"Auckland"
"ToyotaWish1.8Leather*BudgetBranch*2003";2003;156000;" Station Wagon";" 1800cc petrol engine";" automatic";5688;"Canterbury"
"ToyotaWishX,ReverseCamera2005";2005;101000;" Station Wagon";" 1800cc petrol engine";" automatic";6700;"Auckland"
"ToyotaWish1.8L7SeaterPre-ArrivalSale...2004";2004;110086;" Van";" 1800cc petrol engine";" automatic";6490;"Canterbury"
"ToyotaWish2.0Z2005";2005;136850;" Station Wagon";" 2000cc petrol engine";" automatic";6990;"Canterbury"
"ToyotaWish*StunningCarwithBeautiful...2004";2004;83000;" Van";" 1998cc petrol engine";" automatic";6240;"Auckland"
"ToyotaWishAAAppraised2007";2007;97937;" Station Wagon";" 1800cc petrol engine";" automatic";7950;"Auckland"
"ToyotaWish2006";2006;108845;" Station Wagon";" 1794cc petrol engine";" automatic";10985;"Gisborne"
"ToyotaWish2005";2005;72105;" Van";" 1794cc petrol engine";" automatic";7990;"Auckland"
"ToyotaWish1.8X**WEEKENDSPECIAL**2007";2007;107000;" Station Wagon";" 1800cc petrol engine";" automatic";7490;"Auckland"
"ToyotaWish20Z/6Seater2005";2005;83100;" Van";" 2000cc petrol engine";" tiptronic";12440;"Wellington"
"ToyotaWish2004";2004;149806;" RV/SUV";" 1998cc petrol engine";" automatic";6900;"Southland"
"ToyotaWish1.87SEATER2007";2007;101832;" Station Wagon";" 1800cc petrol engine";" automatic";8995;"Otago"
"ToyotaWishG2008";2008;113730;" Station Wagon";" 2000cc petrol engine";" automatic";11990;"Taranaki"
"ToyotaWish1.8XAerosportsPkg2006";2006;71922;" Station Wagon";" 1794cc petrol engine";" automatic";12290;"Auckland"
"ToyotaWish7SEATSGREATBUYING2006";2006;114000;" Van";" 1800cc petrol engine";" automatic";7995;"Wellington"
"ToyotaWish2006";2006;122000;" Station Wagon";" 2000cc petrol engine";" automatic";5890;"Auckland"
"ToyotaWish2.02004";2004;96517;" Station Wagon";" 1998cc petrol engine";" automatic";9999;"Otago"
"ToyotaWishGNEOEDITION2005";2005;96189;" Station Wagon";" 2000cc petrol engine";" automatic";8990;"Canterbury"
"ToyotaWish1.8XSPackage2004";2004;36397;" Station Wagon";" 1794cc petrol engine";" automatic";12390;"Auckland"
"ToyotaWishX2005";2005;77782;" Van";" 1790cc petrol engine";" automatic";9990;"Bay of Plenty"
"ToyotaWish2.0ZWagon2005";2005;96245;" Station Wagon";" 1998cc petrol engine";" automatic";11990;"Taranaki"
"ToyotaWish1.8XAERO2008";2008;114970;" Station Wagon";" 1800cc petrol engine";" automatic";9990;"Canterbury"
"ToyotaWish4WD2005";2005;99000;" Station Wagon";" 1800cc petrol engine";" automatic";9990;"Canterbury"
"ToyotaWish2.0GBodykit*BudgetBranch*2004";2004;123000;" Station Wagon";" 2000cc petrol engine";" automatic";6388;"Canterbury"
"ToyotaWish-MANUKAUZAAAppraisedJust...2006";2006;148782;" Van";" 2000cc petrol engine";" automatic";6930;"Auckland"
"ToyotaWishG7Seater-MANUKAUAAApprai...2004";2004;102033;" Hatchback";" 2000cc petrol engine";" automatic";5430;"Auckland"
"ToyotaWish2004";2004;107500;" RV/SUV";" 1794cc petrol engine";" automatic";5250;"Waitakere City"
"ToyotaWishXAEROSPORTSFACELIFT2005";2005;103763;" Station Wagon";" 1800cc petrol engine";" automatic";7990;"Canterbury"
"ToyotaWish2009";2009;80000;" Station Wagon";" 1800cc petrol engine";" automatic";11999;"Auckland"
"ToyotaWishZAAAppraised2004";2004;98086;" Van";" 2000cc petrol engine";" tiptronic";6750;"Auckland"
"ToyotaWish1.8S2005";2005;94522;" Station Wagon";" 1794cc petrol engine";" automatic";9999;"Otago"
"ToyotaWish2.0ZCVT2004";2004;74714;" Station Wagon";" 1998cc petrol engine";" automatic";11290;"Auckland"
"ToyotaWish2007";2007;123606;" Van";" 1790cc petrol engine";" tiptronic";5790;"Auckland"
"ToyotaWishX2005";2005;99462;" Station Wagon";" 1800cc petrol engine";" automatic";8990;"Canterbury"
"ToyotaWishX-SPKG2005";2005;69972;" Van";" 1790cc petrol engine";" automatic";9990;"Bay of Plenty"
"ToyotaWish7SeatTidy$55P/Week2004";2004;91000;" RV/SUV";" 1794cc petrol engine";" automatic";9896;"Bay of Plenty"
"ToyotaWish18XS-Aero2004";2004;92140;" Station Wagon";" 1800cc petrol engine";" automatic";10995;"Taranaki"
"ToyotaWish2004";2004;67898;" Station Wagon";" 1800cc petrol engine";" automatic";7999;"Canterbury"
"ToyotaWish2005";2005;66400;" Station Wagon";" 1990cc";" automatic";11990;"Northland"
"ToyotaWish1.8**7SEATER**2006";2006;84672;" Station Wagon";" 1800cc petrol engine";" tiptronic";9995;"Waikato"
"ToyotaWishXAEROSPORTPACKAGE2005";2005;72333;" Van";" 1790cc petrol engine";" automatic";9990;"Bay of Plenty"
"ToyotaWishVSC2004";2004;123000;" Station Wagon";" 1800cc petrol engine";" automatic";6200;"Manukau City"
"ToyotaWishZ#1YEARWARRANTYFREE2004";2004;93541;" Van";" 2000cc petrol engine";" automatic";8999;"Canterbury"
"ToyotaWish1.8XSPackage2004";2004;52969;" Station Wagon";" 1794cc petrol engine";" automatic";11590;"Auckland"
"ToyotaWish/X-Sport==ClearanceSale==2005";2005;92400;" Station Wagon";" 1800cc petrol engine";" automatic";6590;"Auckland"
"ToyotaWishXSSportGrade4.5,81Kms2005";2005;80526;" Station Wagon";" 1800cc petrol engine";" automatic";9995;"Nelson Bays"
"ToyotaWishX-SPKG2004";2004;79677;" Station Wagon";" 1790cc petrol engine";" automatic";8990;"Bay of Plenty"
"ToyotaWish2007";2007;138865;" Station Wagon";" 1800cc petrol engine";" automatic";9995;"Northland"
"ToyotaWish2.0GCVT2005";2005;117188;" Station Wagon";" 1998cc petrol engine";" automatic";10140;"Auckland"
"ToyotaWishXSPACKAGE2004";2004;164317;" Station Wagon";" 1790cc petrol engine";" automatic";6990;"Hastings"
"ToyotaWish2.0ZWideBody2005";2005;83464;" Station Wagon";" 2000cc petrol engine";" automatic";9999;"Nelson Bays"
"ToyotaWish1800wagon,Alloy2004";2004;137000;" Station Wagon";" 1800cc petrol engine";" automatic";5800;"Auckland"
"ToyotaWish1.8X2005";2005;67165;" Station Wagon";" 1794cc petrol engine";" automatic";10940;"Auckland"
"ToyotaWish1.8****JUSTARRIVED****2009";2009;84000;" Station Wagon";" 1800cc petrol engine";" automatic";12990;"Auckland"
"ToyotaWish1.8XSPackage2005";2005;125519;" Station Wagon";" 1794cc petrol engine";" automatic";9490;"Auckland"
"ToyotaWish2005";2005;75381;" Station Wagon";" 1794cc petrol engine";" automatic";7995;"Otago"
"ToyotaWish6SEATER2005";2005;120266;" Station Wagon";" 1998cc petrol engine";" automatic";7995;"Wellington"
"ToyotaWish1.8XAerosportsPkg2008";2008;65634;" Station Wagon";" 1794cc petrol engine";" automatic";13690;"Auckland"
"ToyotaWishPearlWhite2005";2005;139753;" Station Wagon";" 1998cc petrol engine";" automatic";8290;"Auckland City"
"ToyotaWish2004";2004;129000;" Station Wagon";" 1800cc petrol engine";" automatic";5475;"Auckland"
"ToyotaWish2006";2006;92195;" Station Wagon";" 2000cc petrol engine";" automatic";7990;"Wanganui"
"ToyotaWish1.8LLOWKM60K7SEATERS2004";2004;60103;" Station Wagon";" 1790cc petrol engine";" automatic";6750;"Auckland"
"ToyotaWish2004";2004;139744;" Station Wagon";" 1790cc petrol engine";" automatic";6885;"Hawke's Bay"
"ToyotaWish5DoorWagon,1.8L2008";2008;65770;" Station Wagon";" 1794cc petrol engine";" automatic";13495;"Waikato"
"ToyotaWish2.0ZWideBody2004";2004;92586;" Station Wagon";" 2000cc petrol engine";" tiptronic";8990;"Auckland"
"ToyotaWish1.8L7Seater2004";2004;134867;" Van";" 1800cc petrol engine";" automatic";6450;"Southland"
"ToyotaWish**7SEATERFAMILYCAR**2005";2005;79473;" Station Wagon";" 1990cc petrol engine";" automatic";7999;"Auckland"
"ToyotaWish17Alloys,WideBody2006";2006;90267;" Station Wagon";" 1990cc petrol engine";" automatic";8990;"Northland"
"ToyotaWishZ2006";2006;148000;" Station Wagon";" 2000cc petrol engine";" automatic";9999;"Canterbury"
"ToyotaWish2006";2006;48400;" Station Wagon";" 1790cc petrol engine";" automatic";11990;"Northland"
"ToyotaWishZEDITION2010";2010;41080;" Hatchback";" 2000cc petrol engine";" automatic";19995;"Auckland"
"ToyotaWish-MANUKAUXSAAAppraisedJust...2004";2004;126250;" Van";" 1800cc petrol engine";" automatic";6430;"Auckland"
"ToyotaWishAeroSports2005";2005;84000;" Station Wagon";" 1800cc petrol engine";" automatic";11995;"Waikato"
"ToyotaWish1.8L7Seater2005";2005;88138;" Van";" 1800cc petrol engine";" automatic";7650;"Southland"
"ToyotaWish1.8XFacelift2006";2006;100519;" Station Wagon";" 1800cc petrol engine";" automatic";7995;"Auckland"
"ToyotaWish-ELLERSLIEXAeroSportsPack...2005";2005;125788;" Van";" 1800cc petrol engine";" automatic";6930;"Auckland"
"ToyotaWish-MANUKAUZAAAppraisedJust...2004";2004;137965;" Van";" 2000cc petrol engine";" automatic";7430;"Auckland"
"ToyotaWish1.8S/GreatCondition2004";2004;109590;" Van";" 1800cc petrol engine";" automatic";5290;"Auckland"
"ToyotaWishZWideBodyAAAppraised2004";2004;110000;" Van";" 2000cc petrol engine";" automatic";6950;"Auckland"
"ToyotaWish2004";2004;93116;" Station Wagon";" 1990cc petrol engine";" automatic";8999;"Otago"
"ToyotaWish2005";2005;134214;" RV/SUV";" 1794cc petrol engine";" automatic";6995;"Napier"
"ToyotaWishXSPACKAGE2004";2004;124510;" Van";" 1800cc petrol engine";" automatic";5589;"Auckland"
"ToyotaWish2005";2005;74940;" Hatchback";" 1800cc petrol engine";" automatic";7900;"Auckland"
"ToyotaWish4WDSPORTS2007";2007;118530;" Station Wagon";" 1800cc petrol engine";" automatic";9990;"Canterbury"
"ToyotaWish2.0Z2004";2004;163073;" Station Wagon";" 2000cc petrol engine";" automatic";6490;"Canterbury"
"ToyotaWishZ6Standout$63P/Week2005";2005;135000;" RV/SUV";" 1998cc petrol engine";" automatic";10767;"Bay of Plenty"
"ToyotaWish1.8XLIMITED2007";2007;92800;" Station Wagon";" 1794cc petrol engine";" automatic";11190;"Auckland"
"ToyotaWish2.0GCVT2005";2005;46545;" Station Wagon";" 1998cc petrol engine";" automatic";11740;"Auckland"
"ToyotaWish1.8XSPackage2005";2005;111754;" Station Wagon";" 1794cc petrol engine";" automatic";9890;"Auckland"
"ToyotaWishX2004";2004;40732;" Van";" 1794cc petrol engine";" automatic";9995;"Otago"
"ToyotaWish2005";2005;79700;" Station Wagon";" 1794cc petrol engine";" automatic";9995;"Southland"
"ToyotaWish2004";2004;109825;" Station Wagon";" 2000cc petrol engine";" automatic";7990;"Canterbury"
"ToyotaWish2.0ZCVT2005";2005;72476;" Station Wagon";" 1998cc petrol engine";" automatic";12290;"Auckland"
"ToyotaWishXAEROSPORTSPACKAGE2007";2007;69348;" Station Wagon";" 1790cc petrol engine";" tiptronic";10995;"Waikato"
"ToyotaWishXAEROSPORTSPACKAGE2007";2007;65278;" Station Wagon";" 1790cc petrol engine";" tiptronic";10995;"Waikato"
"ToyotaWish2012";2012;19270;" Van";" 1790cc petrol engine";" automatic";22995;"Bay of Plenty"
"ToyotaWishXSPack2004";2004;120792;" Station Wagon";" 1800cc petrol engine";" automatic";8999;"Canterbury"
"ToyotaWish1.8XG2005";2005;92821;" Van";" 1800cc petrol engine";" automatic";7490;"Wellington"
"ToyotaWish2.0ZCVT2006";2006;92463;" Station Wagon";" 1998cc petrol engine";" automatic";11490;"Auckland"
"ToyotaWish2004";2004;98369;" Station Wagon";" 1790cc petrol engine";" automatic";8999;"Otago"
"ToyotaWishNODEPFROM$51.53P/WK2005";2005;113410;" Station Wagon";" 2000cc petrol engine";" automatic";8995;"Auckland"
"ToyotaWish1.82006";2006;97614;" Station Wagon";" 1794cc petrol engine";" automatic";9999;"Otago"
"ToyotaWish7SEATER2005";2005;82900;" Station Wagon";" 2000cc petrol engine";" automatic";9995;"Gisborne"
"ToyotaWish2008";2008;67629;" Van";" 1800cc petrol engine";" automatic";10995;"Auckland"
"ToyotaWish18XLimited(NowonSALE)2007";2007;69201;" Station Wagon";" 1800cc petrol engine";" automatic";9995;"Hawke's Bay"
"ToyotaWishXEPackage.(NowonSALE)2006";2006;80522;" Station Wagon";" 1800cc petrol engine";" automatic";8995;"Hawke's Bay"
"ToyotaWishXS2005";2005;107700;" RV/SUV";" 1794cc petrol engine";" automatic";7900;"Ashburton"
"ToyotaWish2005";2005;113552;" Van";" 1800cc petrol engine";" automatic";7990;"Otago"
"ToyotaWishx2005";2005;124309;" Station Wagon";" 1800cc petrol engine";" automatic";8999;"Canterbury"
"ToyotaWish2005";2005;77000;" Hatchback";" 1800cc petrol engine";" automatic";6800;"Auckland"
"ToyotaWish2.0Z2005";2005;139800;" Station Wagon";" 2000cc petrol engine";" automatic";6990;"Canterbury"
"ToyotaWish*1YearWarranty&Servicing*2005";2005;86000;" Van";" 1998cc petrol engine";" automatic";8990;"Canterbury"
"ToyotaWishXAeroSports2005";2005;113000;" Station Wagon";" 1800cc petrol engine";" automatic";6990;"Canterbury"
"ToyotaWishFacelift7seaterAlloys2007";2007;127009;" Station Wagon";" 1790cc petrol engine";" automatic";6990;"Northland"
"ToyotaWish1.8L7Seater2005";2005;82949;" Van";" 1800cc petrol engine";" automatic";7450;"Southland"
"ToyotaWish2007";2007;99614;" Station Wagon";" 1790cc petrol engine";" automatic";7990;"Auckland"
"ToyotaWish5D4WDXS2005";2005;129070;" Van";" 1800cc petrol engine";" automatic";6450;"Southland"
"ToyotaWish2004";2004;119366;" Station Wagon";" 1800cc petrol engine";" automatic";8999;"Canterbury"
"ToyotaWish5DXSPACK2005";2005;114308;" Van";" 1800cc petrol engine";" automatic";8990;"Nelson Bays"
"ToyotaWish5DX-LTD2007";2007;101516;" Van";" 1800cc petrol engine";" automatic";8990;"Nelson Bays"
"ToyotaWishXAEROSPORT2005";2005;78310;" Hatchback";" 1800cc petrol engine";" automatic";9997;"Nelson Bays"
"ToyotaWish4Grade,1800cc,Non-CVT2004";2004;84000;" Station Wagon";" 1800cc petrol engine";" automatic";6299;"Auckland"
"ToyotaWish2005";2005;99730;" Station Wagon";" 2000cc petrol engine";" automatic";7990;"Otago"
"ToyotaWishXAeroSportPackage2007";2007;71015;" Van";" 1794cc petrol engine";" automatic";8980;"Auckland"
"ToyotaWish1.8XAerosportsPkg2007";2007;106807;" Station Wagon";" 1794cc petrol engine";" automatic";11340;"Auckland"
"ToyotaWish2005";2005;91701;" Hatchback";" 1800cc petrol engine";" automatic";7300;"Auckland"
"ToyotaWish2005";2005;107227;" Van";" 1800cc petrol engine";" automatic";6990;"Otago"
